Astar_total_moves,Minimax_total_moves,RL_total_moves,Astar_total_deaths,Minimax_total_deaths,RL_total_deaths,win,loss,Astar_total_kills,Minimax_total_kills,RL_total_kills,,Sum of Wins,Sum of Loss,Hero 1 Kills,Hero 2 kills,Hero 3 kills
24,38,27,0,0,0,1,0,1,0,0,,111,93,83,60,38
15,24,16,0,0,0,1,0,1,0,0,,,,,,
18,33,18,0,0,0,1,0,0,1,0,,54.68%,45.81%,Hero 1 deaths,Hero 2 deaths,Hero 3 deaths
23,37,23,0,0,0,1,0,1,0,0,,,,64,44,45
13,22,23,0,0,0,1,0,1,0,0,,,,,,
15,31,45,1,1,0,0,1,0,0,1,,,,Hero 1 moves,Hero 2 moves,Hero 3 moves
20,27,25,0,0,0,1,0,1,0,0,,,,,,
15,21,16,0,0,0,1,0,1,0,0,,,Avg,17.67487685,32.22660099,22.98029557
30,44,14,0,0,1,0,1,1,0,0,,,,,,
16,38,14,0,0,0,1,0,0,0,1,,,,,,
13,18,17,0,0,0,1,0,1,0,0,,Kill Death Ratio 1,Kill Death Ratio 2,Kill Death Ratio 3,,
21,36,22,0,0,0,1,0,1,0,0,,1.296875,1.363636364,0.8444444444,,
19,36,16,0,0,0,1,0,1,0,0,,,,,,
16,28,22,1,0,0,0,1,0,1,0,,,,,,
17,28,23,0,0,0,1,0,1,0,0,,,,,,
15,29,27,1,1,1,0,1,0,0,0,,,,,,
21,34,22,0,0,0,1,0,0,1,0,,,,,,
15,24,21,0,0,0,1,0,1,0,0,,,,,,
11,13,13,0,0,0,1,0,0,1,0,,,,,,
18,33,8,0,0,0,1,0,1,0,0,,,,,,
32,53,26,0,0,0,1,0,1,0,0,,,,,,
15,17,16,1,0,0,0,1,0,1,0,,,,,,
20,34,21,0,0,0,1,0,0,1,0,,,,,,
12,24,18,0,0,0,1,0,1,0,0,,,,,,
15,272,25,1,0,1,0,1,0,1,0,,,,,,
17,29,26,1,0,0,0,1,0,0,1,,,,,,
13,36,38,1,0,0,0,1,0,1,0,,,,,,
15,17,18,0,0,0,0,1,0,1,0,,,,,,
12,19,16,0,0,0,1,0,0,1,0,,,,,,
31,45,38,0,1,0,0,1,0,0,1,,,,,,
23,38,20,0,0,0,1,0,1,0,0,,,,,,
27,41,28,0,0,0,1,0,1,0,0,,,,,,
10,74,19,1,0,1,0,1,0,1,0,,,,,,
7,11,12,1,0,0,0,1,0,1,0,,,,,,
26,42,14,0,0,1,0,1,0,1,0,,,,,,
27,41,35,0,1,0,0,1,1,0,0,,,,,,
25,32,29,0,1,0,0,1,1,0,0,,,,,,
29,49,33,0,0,0,1,0,1,0,0,,,,,,
35,52,38,0,1,0,0,1,1,0,0,,,,,,
26,42,32,0,0,0,1,0,0,0,1,,,,,,
14,25,24,1,0,0,0,1,0,1,0,,,,,,
24,41,20,0,0,0,1,0,1,0,0,,,,,,
23,35,28,0,1,0,0,1,1,0,0,,,,,,
11,20,15,1,0,0,0,1,0,1,0,,,,,,
19,32,17,0,0,0,1,0,0,0,1,,,,,,
12,28,22,1,0,0,0,1,0,1,0,,,,,,
26,46,9,0,0,1,0,1,0,1,0,,,,,,
16,51,49,1,1,1,0,1,0,0,0,,,,,,
21,34,21,0,0,0,1,0,0,0,1,,,,,,
9,23,12,0,0,0,1,0,1,0,0,,,,,,
6,25,19,1,0,0,0,1,0,0,1,,,,,,
24,37,33,0,0,0,1,0,1,0,0,,,,,,
18,27,21,0,0,0,1,0,0,1,0,,,,,,
32,50,57,0,1,0,0,1,1,0,0,,,,,,
20,36,18,0,0,0,1,0,1,0,0,,,,,,
7,30,28,1,1,1,0,1,0,0,0,,,,,,
18,33,16,0,0,0,1,0,0,1,0,,,,,,
15,32,27,0,0,0,1,0,0,1,0,,,,,,
21,32,15,0,0,0,1,0,0,0,1,,,,,,
21,36,33,0,0,0,1,0,0,1,0,,,,,,
14,25,15,1,0,1,0,1,0,1,0,,,,,,
13,25,14,1,1,1,0,1,0,0,0,,,,,,
29,46,44,0,1,0,0,1,1,0,0,,,,,,
12,24,22,0,0,0,1,0,1,0,0,,,,,,
17,28,18,0,0,0,1,0,1,0,0,,,,,,
18,28,19,0,0,0,1,0,1,0,0,,,,,,
31,51,9,0,0,1,0,1,1,0,0,,,,,,
8,15,16,1,0,0,0,1,0,1,0,,,,,,
10,20,8,1,0,1,0,1,0,1,0,,,,,,
11,18,13,0,0,0,1,0,1,0,0,,,,,,
5,22,12,1,1,1,0,1,0,0,0,,,,,,
