Monte_total_moves,RL_total_moves,Nash_total_moves,Monte_total_deaths,RL_total_deaths,Nash_total_deaths,win,loss,Monte_total_kills,RL_total_kills,Nash_total_kills,,Monte Moves,Rl Moves,Nash Moves,Monte Deaths,Rl Deaths,Nash Deaths
20,19,12,0,0,1,0,1,0,1,0,,29.54248366,37.50980392,28.1503268,21,58,41
30,14,30,0,1,0,0,1,0,0,1,,,,,,,
42,33,12,1,1,1,0,1,0,0,0,,,,,,,
22,21,21,0,0,0,0,1,0,1,0,,,,,,,
25,14,30,0,1,0,0,1,0,0,1,,,,,,,
21,21,20,0,0,0,1,0,0,1,0,,,,,,,
21,21,20,0,0,0,1,0,0,1,0,,Wins,Loss,Monte Kills,RL kills,Nash Kills,
15,14,14,0,0,0,0,1,0,1,0,,54,100,0,90,43,
89,89,12,1,1,1,0,1,0,0,0,,,,0,1.551724138,1.048780488,
43,13,48,0,1,0,0,1,0,0,1,,,,,,,
31,17,34,0,1,0,0,1,0,0,1,,Enemy is using Minimax,,,,,
65,20,85,0,1,0,0,1,0,0,1,,,,,,,
39,39,38,0,0,0,1,0,0,1,0,,,,,,,
39,39,38,0,0,0,1,0,0,1,0,,,,,,,
20,19,18,0,0,0,0,1,0,1,0,,,,,,,
31,15,43,0,1,0,0,1,0,0,1,,,,,,,
37,22,34,1,1,1,0,1,0,0,0,,,,,,,
18,6,27,0,1,0,0,1,0,0,1,,,,,,,
40,56,24,0,0,1,0,1,0,1,0,,,,,,,
40,56,24,0,0,1,0,1,0,1,0,,,,,,,
31,20,39,0,1,0,0,1,0,0,1,,,,,,,
22,9,33,0,1,0,0,1,0,0,1,,,,,,,
22,21,11,0,0,1,0,1,0,1,0,,,,,,,
14,13,12,0,0,1,0,1,0,1,0,,,,,,,
23,22,22,0,0,0,0,1,0,1,0,,,,,,,
47,11,58,0,1,0,0,1,0,0,1,,,,,,,
33,32,32,0,0,0,0,1,0,0,1,,,,,,,
39,20,40,0,1,0,0,1,0,0,1,,,,,,,
23,14,25,0,1,0,0,1,0,0,1,,,,,,,
37,20,26,1,1,1,0,1,0,0,0,,,,,,,
26,11,26,1,1,1,0,1,0,0,0,,,,,,,
29,18,25,1,1,1,0,1,0,0,0,,,,,,,
66,25,82,0,1,0,0,1,0,0,1,,,,,,,
34,35,35,0,0,0,1,0,0,1,0,,,,,,,
34,35,35,0,0,0,1,0,0,1,0,,,,,,,
40,16,35,1,1,1,0,1,0,0,0,,,,,,,
24,23,18,0,0,0,0,1,0,1,0,,,,,,,
23,22,22,0,0,0,0,1,0,1,0,,,,,,,
33,21,41,0,1,0,0,1,0,0,1,,,,,,,
43,9,51,0,1,0,0,1,0,0,1,,,,,,,
21,20,13,0,0,1,0,1,0,1,0,,,,,,,
